Anio,Categoria,Pais,Genero,Edad,Sexo
2017,Aficionado,Colombia,Drama,24.0,Femenino
2017,Aficionado,Extranjero,Comedia,19.0,Femenino
2017,Aficionado,Colombia,Drama,23.0,Masculino
2017,Aficionado,Colombia,Documental,23.0,Femenino
2017,Aficionado,Colombia,Drama,19.0,Femenino
2017,Aficionado,Colombia,Drama,34.0,Masculino
2017,Aficionado,Colombia,Ficcion,22.0,Femenino
2017,Aficionado,Colombia,Suspenso,25.0,Masculino
2017,Aficionado,Colombia,Suspenso,21.0,Femenino
2017,Aficionado,Colombia,Suspenso,48.0,Masculino
2017,Aficionado,Colombia,Drama,21.0,Masculino
2017,Aficionado,Colombia,Drama,23.0,Masculino
2017,Aficionado,Colombia,Accion,25.0,Masculino
2017,Aficionado,Colombia,Drama,23.0,Masculino
2017,Aficionado,Colombia,Drama,22.0,Masculino
2017,Aficionado,Colombia,Drama,19.0,Masculino
2017,Aficionado,Colombia,Suspenso,21.0,Masculino
2017,Aficionado,Colombia,Drama,46.0,Femenino
2017,Aficionado,Colombia,Drama,39.0,Masculino
2017,Aficionado,Colombia,Drama,29.0,Femenino
2017,Aficionado,Colombia,Drama,42.0,Masculino
2017,Aficionado,Colombia,Drama,55.0,Masculino
2017,Aficionado,Colombia,Drama,61.0,Masculino
2017,Aficionado,Colombia,Drama,19.0,Masculino
2017,Aficionado,Colombia,Ficcion,23.0,Masculino
2017,Aficionado,Colombia,Drama,27.0,Masculino
2017,Aficionado,Colombia,Ficcion,31.0,Masculino
2017,Aficionado,Colombia,Documental,25.0,Masculino
2017,Aficionado,Colombia,Drama,30.0,Femenino
2017,Aficionado,Colombia,Drama,18.0,Femenino
2017,Aficionado,Extranjero,Ficcion,22.0,Masculino
2017,Aficionado,Colombia,Drama,44.0,Femenino
2017,Aficionado,Colombia,Suspenso,27.0,Masculino
2017,Aficionado,Colombia,Drama,22.0,Masculino
2017,Aficionado,Colombia,Comedia,35.0,Masculino
2017,Aficionado,Colombia,Suspenso,26.0,Masculino
2017,Aficionado,Colombia,Ficcion,28.0,Masculino
2017,Aficionado,Colombia,Drama,35.0,Femenino
2017,Aficionado,Colombia,Comedia romantica,26.0,Masculino
2017,Aficionado,Colombia,Ficcion,18.0,Femenino
2017,Aficionado,Colombia,Comedia,21.0,Masculino
2017,Aficionado,Colombia,Suspenso,20.0,Femenino
2017,Aficionado,Colombia,Drama,22.0,Masculino
2017,Aficionado,Colombia,Documental,25.0,Masculino
2017,Aficionado,Colombia,Suspenso,26.0,Masculino
2017,Aficionado,Extranjero,Suspenso,38.0,Masculino
2017,Aficionado,Extranjero,Documental,38.0,Masculino
2017,Aficionado,Colombia,Suspenso,31.0,Masculino
2017,Aficionado,Colombia,Documental,39.0,Femenino
2017,Aficionado,Colombia,Suspenso,23.0,Masculino
2017,Aficionado,Colombia,Drama,19.0,Masculino
2017,Aficionado,Colombia,Drama,18.0,Masculino
2017,Aficionado,Colombia,Ficcion,27.0,Femenino
2017,Aficionado,Colombia,Drama,24.0,Femenino
2017,Aficionado,Colombia,Drama,26.0,Masculino
2017,Aficionado,Colombia,Documental,22.0,Femenino
2017,Aficionado,Colombia,Suspenso,26.0,Masculino
