Año,Categoría,País,Género,Edad,Sexo
2017,Aficionado,Si,Drama,24,Masculino
2017,Aficionado,Si,Ficción,23,Femenino
2017,Aficionado,Si,Drama,43,Femenino
2017,Aficionado,Si,Drama,30,Masculino
2017,Aficionado,Si,Drama,29,Femenino
2017,Aficionado,Si,Documental,37,Masculino
2017,Aficionado,Si,Comedia romÍntica,35,Masculino
2017,Aficionado,Si,Acción,19,Masculino
2017,Aficionado,Si,Drama,24,Femenino
2017,Aficionado,Si,Drama,27,Masculino
2017,Aficionado,Si,Drama,18,Masculino
2017,Aficionado,Si,Ficción,33,Masculino
2017,Aficionado,Si,Suspenso,41,Femenino
2017,Aficionado,Si,Suspenso,24,Masculino
2017,Aficionado,Si,Drama,38,Masculino
2017,Aficionado,Si,Drama,18,Masculino
2017,Aficionado,Si,Drama,20,Femenino
2017,Aficionado,Si,Documental,21,Femenino
2017,Aficionado,Si,Ficción,23,Masculino
2017,Aficionado,Si,Drama,30,Masculino
2017,Aficionado,Si,Drama,22,Femenino
2017,Aficionado,Si,Ficción,25,Masculino
2017,Aficionado,Si,Drama,18,Masculino
2017,Aficionado,Si,Ficción,21,Femenino
2017,Aficionado,Si,Drama,56,Masculino
2017,Aficionado,Si,Terror,26,Masculino
2017,Aficionado,Si,Documental,33,Masculino
2017,Aficionado,Si,Drama,28,Masculino
2017,Aficionado,Si,Drama,42,Masculino
2017,Aficionado,Si,Ficción,25,Masculino
2017,Aficionado,Si,Documental,29,Masculino
2017,Aficionado,Si,Suspenso,23,Femenino
2017,Aficionado,Si,Ficción,23,Masculino
2017,Aficionado,Si,Drama,24,Femenino
2017,Aficionado,Si,Ficción,24,Masculino
2017,Aficionado,Si,Drama,22,Masculino
2017,Aficionado,Si,Drama,24,Femenino
2017,Aficionado,Si,Drama,32,Masculino
2017,Aficionado,Si,Drama,29,Masculino
2017,Aficionado,Si,Drama,22,Masculino
2017,Aficionado,Si,Drama,37,Masculino
2017,Aficionado,Si,Suspenso,25,Masculino
2017,Aficionado,Si,Drama,19,Masculino
2017,Aficionado,Si,Suspenso,41,Masculino
2017,Aficionado,Si,Documental,35,Masculino
2017,Aficionado,Si,Drama,18,Masculino
2017,Aficionado,Si,Suspenso,21,Masculino
2017,Aficionado,Si,Drama,18,Masculino
2017,Aficionado,Si,Terror,24,Masculino
2017,Aficionado,Si,Ficción,27,Femenino
2017,Aficionado,Si,Ficción,38,Masculino
2017,Aficionado,Si,Drama,31,Masculino
2017,Aficionado,Si,Drama,32,Masculino
2017,Aficionado,Si,Drama,42,Masculino
2017,Aficionado,Si,Drama,20,Femenino
2017,Aficionado,Si,Suspenso,18,Femenino
2017,Aficionado,1,Comedia,47    ,Masculino
2017,Aficionado,Si,Drama,26,Masculino
2017,Aficionado,Si,Drama,20,Masculino
2017,Aficionado,Si,Drama,26,Masculino
2017,Aficionado,Si,Documental,55,Masculino
2017,Aficionado,Si,Drama,28,Femenino
2017,Aficionado,Si,Ficción,21,Masculino
2017,Aficionado,Si,Drama,35,Masculino
2017,Aficionado,Si,Documental,23,Masculino
2017,Aficionado,Si,Comedia,28,Masculino
2017,Aficionado,Si,Drama,20,Femenino
2017,Aficionado,No,Drama,23,Masculino
2017,Aficionado,Si,Ficción,18,Masculino
2017,Aficionado,Si,Ficción,23,Masculino
2017,Aficionado,Si,Suspenso,39,Masculino
2017,Aficionado,Si,Drama,29,Masculino
2017,Aficionado,No,Ficción,32,Femenino
2017,Aficionado,Si,Drama,27,Masculino
2017,Aficionado,Si,Drama,18,Masculino
2017,Aficionado,Si,Drama,46,Masculino
2017,Aficionado,Si,Drama,42,Masculino
2017,Aficionado,Si,Drama,23,Masculino
2017,Aficionado,Si,Suspenso,34,Masculino
2017,Aficionado,Si,Drama,51,Masculino
2017,Aficionado,Si,Drama,32,Masculino
2017,Aficionado,Si,Drama,24,Femenino
2017,Aficionado,No,Comedia,19,Femenino
2017,Aficionado,Si,Drama,23,Masculino
2017,Aficionado,Si,Documental,23,Femenino
2017,Aficionado,Si,Drama,19,Femenino
2017,Aficionado,Si,Drama,34,Masculino
2017,Aficionado,Si,Ficción,22,Femenino
2017,Aficionado,Si,Suspenso,25,Masculino
2017,Aficionado,Si,Suspenso,21,Femenino
2017,Aficionado,Si,Suspenso,48,Masculino
2017,Aficionado,Si,Drama,21,Masculino
2017,Aficionado,Si,Drama,23,Masculino
2017,Aficionado,Si,Acción,25,Masculino
2017,Aficionado,Si,Drama,23,Masculino
2017,Aficionado,Si,Drama,22,Masculino
2017,Aficionado,Si,Drama,19,Masculino
2017,Aficionado,Si,Suspenso,21,Masculino
2017,Aficionado,Si,Drama,46,Femenino
2017,Aficionado,Si,Drama,39,Masculino
2017,Aficionado,Si,Drama,29,Femenino
2017,Aficionado,Si,Drama,42,Masculino
2017,Aficionado,Si,Drama,55,Masculino
2017,Aficionado,Si,Drama,61,Masculino
2017,Aficionado,Si,Drama,19,Masculino
2017,Aficionado,Si,Ficción,23,Masculino
2017,Aficionado,Si,Drama,27,Masculino
2017,Aficionado,Si,Ficción,31,Masculino
2017,Aficionado,Si,Documental,25,Masculino
2017,Aficionado,Si,Drama,30,Femenino
2017,Aficionado,Si,Drama,18,Femenino
2017,Aficionado,No,Ficción,22,Masculino
2017,Aficionado,Si,Drama,44,Femenino
2017,Aficionado,Si,Suspenso,27,Masculino
2017,Aficionado,Si,Drama,22,Masculino
2017,Aficionado,Si,Comedia,35,Masculino
2017,Aficionado,Si,Suspenso,26,Masculino
2017,Aficionado,Si,Ficción,28,Masculino
2017,Aficionado,Si,Drama,35,Femenino
2017,Aficionado,Si,Comedia romÍntica,26,Masculino
2017,Aficionado,Si,Ficción,18,Femenino
2017,Aficionado,Si,Comedia,21,Masculino
2017,Aficionado,Si,Suspenso,20,Femenino
2017,Aficionado,Si,Drama,22,Masculino
2017,Aficionado,Si,Documental,25,Masculino
2017,Aficionado,Si,Suspenso,26,Masculino
2017,Aficionado,No,Suspenso,38,Masculino
2017,Aficionado,No,Documental,38,Masculino
2017,Aficionado,Si,Suspenso,31,Masculino
2017,Aficionado,Si,Documental,39,Femenino
2017,Aficionado,Si,Suspenso,23,Masculino
2017,Aficionado,Si,Drama,19,Masculino
2017,Aficionado,Si,Drama,18,Masculino
2017,Aficionado,Si,Ficción,27,Femenino
2017,Aficionado,Si,Drama,24,Femenino
2017,Aficionado,Si,Drama,26,Masculino
2017,Aficionado,Si,Documental,22,Femenino
2017,Aficionado,Si,Suspenso,26,Masculino
2017,Aficionado,Si,Comedia,29,Masculino
2017,Aficionado,Si,Comedia,33,Masculino
2017,Aficionado,Si,Ficción,30,Femenino
2017,Aficionado,Si,Drama,25,Femenino
2017,Aficionado,Si,Drama,26,Masculino
2017,Aficionado,Si,Documental,24,Masculino
2017,Aficionado,Si,Comedia,20,Masculino
2017,Aficionado,Si,Drama,20,Femenino
2017,Aficionado,Si,Drama,21,Masculino
2017,Aficionado,Si,Drama,18,Masculino
2017,Aficionado,Si,Ficción,24,Masculino
2017,Aficionado,Si,Documental,25,Masculino
2017,Aficionado,Si,Drama,25,Masculino
2017,Aficionado,Si,Drama,22,Masculino
2017,Juvenil,Si,Suspenso,17,Masculino
2017,Juvenil,Si,Comedia romántica,14,Masculino
2017,Juvenil,Si,Drama,17,Femenino
2017,Juvenil,Si,Terror,17,Masculino
2017,Juvenil,Si,Drama,17,Masculino
2017,Juvenil,Si,Documental,17,Femenino
2017,Juvenil,Si,Suspenso,17,Femenino
2017,Juvenil,Si,Drama,16,Femenino
2017,Juvenil,Si,Drama,14,Masculino
2017,Juvenil,Si,Drama,17,Masculino
2017,Juvenil,Si,Suspenso,16,Masculino
2017,Juvenil,Si,Drama,15,Masculino
2017,Juvenil,Si,Ficción,17,Masculino
2017,Juvenil,Si,Ficción,14,Femenino
2017,Juvenil,Si,Drama,16,Masculino
2017,Juvenil,Si,Ficción,16,Femenino
2017,Juvenil,Si,Drama,17,Masculino
2017,Juvenil,Si,Drama,17,Masculino
2017,Juvenil,Si,Suspenso,16,Masculino
2017,Juvenil,Si,Acción,14,Masculino
2017,Juvenil,Si,Suspenso,15,Masculino
2017,Juvenil,Si,Documental,16,Femenino
2017,Juvenil,Si,Suspenso,17,Masculino
2017,Juvenil,Si,Comedia,16,Femenino
2017,Juvenil,Si,Drama,17,Femenino
2017,Juvenil,Si,Drama,16,Masculino
2017,Juvenil,Si,Suspenso,17,Femenino
2017,Juvenil,Si,Drama,17,Masculino
2017,Juvenil,Si,Suspenso,16,Masculino
2017,Juvenil,Si,Comedia romántica,16,Masculino
2017,Juvenil,Si,Drama,16,Masculino
2017,Juvenil,Si,Suspenso,16,Masculino
2017,Juvenil,Si,Ficción,15,Masculino
2017,Juvenil,Si,Comedia,16,Masculino
2017,Juvenil,Si,Suspenso,15,Masculino
2017,Juvenil,Si,Suspenso,16,Femenino
2017,Juvenil,Si,Drama,14,Masculino
2017,Juvenil,Si,Suspenso,17,Femenino
2017,Juvenil,Si,Suspenso,16,Femenino
2017,Juvenil,Si,Ficción,16,Femenino
2017,Juvenil,Si,Drama,17,Femenino
2017,Juvenil,Si,Terror,17,Femenino
2017,Juvenil,Si,Ficción,17,Masculino
2017,Juvenil,Si,Terror,14,Femenino
2017,Juvenil,Si,Drama,15,Masculino
2017,Juvenil,Si,Acción,17,Masculino
2017,Juvenil,Si,Drama,14,Masculino
2017,Juvenil,Si,Drama,15,Femenino
2017,Juvenil,Si,Drama,14,Masculino
2017,Juvenil,Si,Ficción,17,Femenino
2017,Juvenil,Si,Suspenso,17,Masculino
2017,Juvenil,Si,Drama,17,Masculino
2017,Juvenil,Si,Comedia,17,Masculino
2017,Juvenil,Si,Drama,16,Masculino
2017,Juvenil,Si,Ficción,16,Masculino
2017,Juvenil,Si,Drama,17,Masculino
2017,Juvenil,Si,Drama,16,Femenino
2017,Juvenil,Si,Terror,17,Masculino
2017,Juvenil,Si,Drama,15,Masculino
2017,Juvenil,Si,Ficción,16,Masculino
2017,Juvenil,Si,Comedia,17,Femenino
2017,Juvenil,Si,Drama,17,Femenino
2017,Juvenil,Si,Drama,17,Femenino
