Categoria,Edad,Pais,Titulo,Genero,Duracion,Marca,Referencia,Dias,Marcas,Personas,Sinopsis,limpios
SMARTIC INCLUYENTE,27,Colombia,HISTORIA DE VIDA DE LUIS F. GAMEZ,Otra,64,Samsung,SAMSUNG J5 PRIME,1,,1,COMO VE EL MUNDO UN HOMBRE CON HUESOS DE CRISTAL,ve mund hombr hues cristal
FAMILIAR,44,Colombia,Hogar Mágico,Ficción,290,Huawei,Mate lite 9,9,262.0,5,"Hogar Mágico, cuenta la historia de un niño que una noche tuvo una pesadilla, en donde vivió la ausencia de agua, gas y luz al despertar, esta experiencia le entrega un aprendizaje valioso, ya que reconoce que los servicios son parte del hogar y generan un buen espacio de familia.",hog magic cuent histori niñ noch pesadill viv ausenci agu gas luz despert experient entreg aprendizaj valios reconoc servici part hog gener buen espaci famili
SMARTIC INCLUYENTE,21,Colombia,Home Dream,Drama,265,Haweel,Mate 10 lite,7,155.0,4,La vida real a veces no se parece a lo que soñamos cuando se emprende el rumbo en pareja. Laura y Camilo se enfrentan a una realidad en que la vida les indica que es positivo.,vid real vec parec soñ emprend rumb parej laur camil enfrent realid vid indic posit
AFICIONADO,33,Colombia,Hot Line,Comedia,280,Apple,iphone 8,4,199.0,7,"Mónica es una mujer casada, que, aburrida de la monotonía del matrimonio, decide contratar durante un viaje de negocios, los servicios de un amante sadomasoquista que la hará sentirse más viva que nunca.",monic muj cas aburr monoton matrimoni decid contrat viaj negoci servici amant sadomasoqu har sent viv nunc
SMARTIC INCLUYENTE,13,Colombia,Huellas de Superación,Drama,273,Samsung,Galaxy J7 Prime,10,,8,"En nuestra sociedad, la discapacidad es vista como una limitante para cumplir metas y hacer una vida normal. Cristian es un niño que nació sin piernas, pero con el amor de su madre cada día demuestra la felicidad en todo lo que hace. Es un ejemplo de vida incluyente que sin sus piernas ha podido ""saltar"" los obstáculos que esta le pone.",socied discapac vist limit cumpl met hac vid normal cristi niñ nac piern amor madr cad dia demuestr felic hac ejempl vid incluyent piern pod salt obstacul pon
JUVENIL,16,Colombia,In my mind,Acción,110,Samsung,SM-J500M,3,,3,En esta historia vamos a ver el viaje por la mente de las personas y algunos de sus pensamientos ¿que pasa por la mente de algunas personas? ¿que sienten? ¿que piensan?,histori vam ver viaj ment person pensamient pas ment person sient piens
AFICIONADO,18,Colombia,Incertidumbre,Ficción,300,Motorola,MOTO G4,14,258.0,6,"WED 11:48PM.Dos amigos de toda la vida Victor y Ubaldo van de camino para la casa de Victor para ir a descansar de tanta vuelta y transmilenio, llegando a la casa de Victor se encuentran una caja de color negro muy misteriosa justo enfrente de la puerta de la casa, Victor piensa que no es nada y Ubaldo piensa que puede contener hasta una catastrofe. ¿Qué habra dentro de la caja? ¿algo bueno? ¿algo malo? ¿cómo harán estos dos amigos para resolver el misterio de la caja negra?",wed 11 48pm dos amig tod vid victor ubald van camin cas victor ir descans tant vuelt transmileni lleg cas victor encuentr caj color negr misteri just enfrent puert cas victor piens ubald piens pued conten catastrof habr dentr caj buen mal com haran dos amig resolv misteri caj negr
SMARTIC INCLUYENTE,31,Colombia,Inesperado,Comedia,260,Samsung,7,2,,6,"Una persona ciega recibe una invitación a almorzar y caminando por la ciudad buscando una dirección, recibe algunas orientaciones, aunque no son las más adecuadas, se encuentra con otra persona ciega, se dan cuenta que están perdidos pero al final los llevan hasta el lugar indicado pues desde hace rato ya habían llegado.",person cieg recib invit almorz camin ciud busc direccion recib orient aunqu adecu encuentr person cieg dan cuent perd final llev lug indic pues hac rat lleg
AFICIONADO,27,Colombia,infectado,Ficción,296,Samsung,galaxy tab 4,20,260.0,1,"Edward un joven de 20 años, se encontraba sólo en una cabaña cerca aún pueblo Y disfrutaba de sus vacaciones sólo y alejado de la ciudad. Sus vacaciones estaban tranquilas  hasta que es  mordido En el brazo por una rata, por medio de está mordida el contrae un virus Y se vuelve una especie de vampiro, le quita la cabeza a sus víctimas para impedir que el virus se propague.",edward jov 20 años encontr sol cabañ cerc aun puebl disfrut vacacion sol alej ciud vacacion tranquil mord braz rat medi mord contra virus vuelv especi vampir quit cabez victim imped virus propag
AFICIONADO,35,Colombia,Infierno,Drama,299,Apple,Iphone 4s,10,216.0,4,"Después de una vida acomplejada tras la violación en su infancia por parte de su hermanastro y tratando de ocultar que es gay, Ángel decide hacer carrera militar, pero desafortunadamente allí vuelve a ser blanco de humillaciones por su condición. Al retirarse forzosamente y en medio de insultos, aparentemente empieza una vida feliz tras conocer a un joven, el cual es bisexual y por tanto también mantiene una relación amorosa con una mujer. Todo marcha bien hasta que un día éste joven le confiesa a Ángel que su novia está embarazada, además de confesarle que esta con él por conveniencia. Esta noticia es el detonante perfecto para crear una tormenta de sentimientos, la cual terminará en una trágica muerte.",despues vid acomplej tras violacion infanci part hermanastr trat ocult gay angel decid hac carrer milit desafortun alli vuelv ser blanc humill condicion retir forz medi insult aparent empiez vid feliz tras conoc jov bisexual mantien relacion amor muj march bien dia este jov confies angel novi embaraz ademas confes convenient notici deton perfect cre torment sentimient termin tragic muert
AFICIONADO,32,Colombia,Inocente,Acción,299,Apple,iPhone 6s plus,90,15.0,12,"Todo parece andar muy bien en la vida de Marco Cabiedes, actual candidato a la presidencia de la república, es el hombre del pueblo y para el pueblo. hasta que su hija Melanie de 7 años de edad, sale al parque con Susana la niñera a pasear a su perrita Cahila, y ocurre un suceso que pondrá a Melanie en peligro y a Marco en una situación que podrá generar un gran escándalo en su campaña presidencial. ahora la suerte de la familia Cabiedes se definirá conforme lo tenga pactado el destino.",parec andar bien vid marc cabied actual candidat president republ hombr puebl puebl hij melani 7 años edad sal parqu susan niñer pas perrit cahil ocurr suces pondr melani peligr marc situacion podr gener gran escandal campañ presidencial ahor suert famili cabied defin conform pact destin
PROFESIONAL,41,Colombia,Invasores del espacio interior,Ficción,299,Apple,iphone X,20,249.0,13,"Matías, juega con su vieja cámara de cine y un extraño ser atraviesa su lente. Se trata de un monstruo de estática que lo persigue y seduce a sus padres con costosos regalos.",mat jueg viej cam cin extrañ ser atravies lent trat monstru estat persig seduc padr costos regal
PROFESIONAL,30,Colombia,inVIRIsímil,Drama,299,Apple,"iphone 7 plus, black, 128 GB",23,233.0,17,"Una mujer agredida sexualmente descubre la mejor manera de ser resarcida y saciar su deseo de justicia frente a su agresor. sin darse cuenta que se sumergiría en un maremágnum de sentimientos. Una historia de justicia, chantaje, libertad y amor.",muj agred sexual descubr mejor maner ser resarc saci dese justici frent agresor dars cuent sumerg maremagnum sentimient histori justici chantaj libert amor
AFICIONADO,25,Colombia,ISIS -I515,Ficción,297,Samsung,Galaxy J5,180,91.0,3,"Isis, un alíen que cae de una nave espacial a causa de un accidente, sufre un fuerte impacto al chocar en la tierra. Esteban, un niño de 11 años, la encuentra y comienzan una amistad basada en la curiosidad y el aprendizaje, rompiendo esquemas y viviendo aventuras, juntos descubren y reflejan la cruda realidad de una sociedad donde te cohíben de ser lo que realmente quieres.",isis ali cae nav espacial caus accident sufr fuert impact choc tierr esteb niñ 11 años encuentr comienz amist bas curi aprendizaj romp esquem viv aventur junt descubr reflej crud realid socied cohib ser realment quier
SMARTIC INCLUYENTE,38,Colombia,Jader el niño de Piel de Pescado,Documental,324,Huawei,Y7,3,,5,"En este cortometraje conocemos a Jader Uribe, un joven con Ictiosis, o piel de pescado. Jader nos cuenta cómo ha sido su vida hasta el momento con su patología con una forma optimista y alegre de ver la vida.",cortometraj conoc jad urib jov ictiosis piel pesc jad cuent com sid vid moment patolog form optim alegr ver vid
PROFESIONAL,36,Colombia,Jaque Mate,Ficción,299,Huawei,p9,2,,8,"Don Rei-naldo, hombre solitario, serio y misterioso, vive su día a día en un taller de carpintería, tiene un contrato de alimentación con la madre de Mayerly (Reina), quien la despacha diariamente a entregarle el almuerzo al carpintero y el cual  sospecha de la mala relación familiar entre la niña y su padrastro. sus vidas giran en torno a un juego de ajedrez, donde terminan implicados los personajes, generando un conflicto que afecta física y psicológicamente a la menor, ella finalmente le enseña al Rey que debe pensar muy bien los movimientos de cada ficha, atacando en el punto donde el rival menos lo espera, controlando y ganando el juego.",don rei nald hombr solitari seri misteri viv dia dia tall carpint contrat aliment madr mayerly rein despach diari entreg almuerz carpinter sospech mal relacion famili niñ padrastr vid gir torn jueg ajedrez termin implic personaj gener conflict afect fisic psicolog menor final enseñ rey deb pens bien movimient cad fich atac punt rival men esper control gan jueg
SMARTIC INCLUYENTE,13,Colombia,JUAN,Ficción,296,Samsung,Galaxy J7,12,,9,"Juan de 13 años y Anny de 8 años son dos primos y amigos inseparables. En un día de campo descubren bellos paisajes, exploran la naturaleza y aprenden de ella gracias a la tecnología, a través de la historia Juan nos muestra cómo ve y escucha el universo que lo rodea por que Juan no es igual a todos los niños que conoces, pero ríe como tú, disfruta como tú y siente igual que tú.",juan 13 años anny 8 años dos prim amig insepar dia camp descubr bell paisaj explor naturalez aprend graci tecnolog traves histori juan muestr com ve escuch univers rode juan igual niñ conoc rie disfrut igual
JUVENIL,17,Colombia,Juego de Niñas,Otra,225,Motorola,Moto g4,60,182.0,14,"Tres niñas escapan de su casa, la curiosidad de una de ellas resulta peligrosa, mucho más... que un simple juego de niñas.",tres niñ escap cas curi result peligr simpl jueg niñ
AFICIONADO,23,Colombia,Kill the ants,Drama,300,Apple,5 s,20,,12,"kill the ants narra la situación personal y emocional de un joven que perdió su camino, perdió el sentido y el horizonte. Enter sus pensamientos de tormento reflexiona sobre su vida y analiza qué puede hacer para encontrar lo perdido, para tratar de hacer las cosas bien, para dejar una marca. En medio de confusión y resentimientos con una mirada indiferente, este joven acaba siendo testigo de lo que representaría el crimen más popular de la historia, y así obligado encuentra un camino, su desierto, un mensaje para protegerse, un escape hasta caer en el engaño, ser encontrado y asesinado por los victimarios, la legión.",kill the ants narr situacion personal emocional jov perd camin perd horizont enter pensamient torment reflexion vid analiz pued hac encontr perd trat hac cos bien dej marc medi confusion resent mir indiferent jov acab siend testig represent crim popul histori asi oblig encuentr camin desiert mensaj proteg escap caer engañ ser encontr asesin victimari legion
